Article ID,Article Name,Topic,Source Name,URL,Word Count,Side A,Side B,Article Total:,Annotator: ,Article: Side A ,Side A Article Share,Article: Side B,Side B Article Share,Claude Total: ,CLAUDE Side A ,CLAUDE Side A Share,CLAUDE Side B ,CLAUDE Side B share ,CHAT  Total,Chat Side A ,Chat Side A Share,Chat Side B,Chat Side B Share: ,Groc Total: ,Groc Side A: ,Groc Side A Share: ,Groc Side B: ,Groc Side B Share: ,Claude Gap Side A,Claude Gap Side B,Chat Gap Side A,Chat Gap Side B,Groc Gap Side A,Grock Gap Side B,Imbalance Direction 
1,Trump to Nominate Doctor Who Has Publicly Supported Vaccines as C.D.C. Director,Healthcare,NYT,https://www.nytimes.com/2026/04/16/health/erica-schwartz-cdc-director-trump.html,,Pro-nomination / mainstream public health,Anti-nomination / Kennedy-allied critics,1186,AB,309,0.5346020761,269,0.4653979239,174,0,0,56,1,194,0,0,37,1,215,33,0.4520547945,40,0.5479452055,-0.5346020761,0.5346020761,-0.5346020761,0.5346020761,-0.0825472816,0.0825472816,balanced
2,The contradiction at the heart of Republicans’ embrace of psychedelics,Healthcare,STAT,https://www.statnews.com/2026/04/20/trump-executive-order-psychedelics-republicans-veterans-ibogaine/,,The Reformist / Veteran Advocate Case,The Regulatory / Safety Skeptic Case,2001,AB,221,0.1389937107,1369,0.8610062893,188,53,0.2944444444,127,0.7055555556,178,27,0.1741935484,128,0.8258064516,191,64,0.3555555556,116,0.6444444444,0.1554507338,-0.1554507338,0.0351998377,-0.0351998377,0.2165618449,-0.2165618449,Side B heavy
3,Nebraska begins Medicaid work requirements ahead of federal deadline,Healthcare,SAN,https://san.com/cc/nebraska-begins-medicaid-work-requirements-ahead-of-federal-deadline/,,Pro-work requirement (right),Against work requirement (left),565,CK,92,0.368,158,0.632,194,0,0,142,1,197,24,0.393442623,37,0.606557377,219,58,0.5979381443,39,0.4020618557,-0.368,0.368,0.02544262295,-0.02544262295,0.2299381443,-0.2299381443,Side B heavy
4,RFK Jr. Wants to Wean Some Americans Off Antidepressants,Healthcare,WSJ,https://www.wsj.com/health/wellness/rfk-taking-steps-to-help-wean-some-americans-off-antidepressants-4b8a1b2c,,Pro-Kennedy / deprescribing initiative,Pro-mainstream psychiatry / opposition,824,AB,488,0.8341880342,97,0.1658119658,197,144,1,0,0,197,164,1,0,0,174,127,0.8523489933,22,0.1476510067,0.1658119658,-0.1658119658,0.1658119658,-0.1658119658,0.0181609591,-0.0181609591,Side A heavy
5,US Supreme Court splits over Idaho's strict abortion ban in medican emergencies,Healthcare,Reuters ,https://www.reuters.com/world/us/us-supreme-court-weighs-idahos-strict-abortion-ban-medical-emergencies-2024-04-24/,,Idaho/Conservative,Biden administration,1236,CK,139,0.2417391304,436,0.7582608696,201,0,0,161,1,203,33,0.2357142857,107,0.7642857143,196,61,0.4295774648,81,0.5704225352,-0.2417391304,0.2417391304,-0.00602484472,0.00602484472,0.1878383344,-0.1878383344,Side B heavy
6,Why Congress failed to reach an Obamacare deal,Healthcare,Politico,https://www.politico.com/news/2026/02/17/inside-congress-failed-battle-to-keep-obamacare-premiums-from-skyrocketing-00781825,,Pro-subsidy extension (Democrats + moderate Republicans),Against extension (conservative Republicans),3145,CK,637,0.3758112094,1058,0.6241887906,185,0,0,84,1,204,0,0,127,1,151,7,0.09589041096,66,0.904109589,-0.3758112094,0.3758112094,-0.3758112094,0.3758112094,-0.2799207985,0.2799207985,Side B heavy
7,Federal judge halts RFK Jr.'s changes to children's vaccine policies,Healthcare,NPR,https://www.npr.org/2026/03/16/nx-s1-5749530/judge-blocks-rfk-jr-vaccine-changes,,Pro-administration/HHS defense,Pro-injunction/public health,371,CK,62,0.2683982684,169,0.7316017316,178,24,0.1518987342,134,0.8481012658,208,51,0.265625,141,0.734375,177,11,0.0873015873,115,0.9126984127,-0.1164995342,0.1164995342,-0.002773268398,0.002773268398,-0.1810966811,0.1810966811,Side B heavy
8,Seniors Paid Billions in Extra Premiums Due to Alleged Medicare Overpayments,Healthcare,WSJ,https://www.wsj.com/health/healthcare/seniors-paid-billions-in-extra-premiums-due-to-alleged-medicare-overpayments-d41f5d79?,,Pro-reform / critics of Medicare Advantage,Pro-industry / administration defense,688,AN,114,0.2456896552,350,0.7543103448,181,17,0.125,119,0.875,202,10,0.05555555556,170,0.9444444444,197,39,0.2689655172,106,0.7310344828,-0.1206896552,0.1206896552,-0.1901340996,0.1901340996,0.02327586207,-0.02327586207,Side B heavy
9,FDA backs away from RFK Jr.’s claims about drug’s promise for autism patients,Healthcare,Politico,https://www.politico.com/news/2026/03/10/fda-backs-away-from-rfk-jr-s-claims-about-drugs-promise-for-autism-patients-00820221,,Pro-administration / original RFK/Makary position,FDA scientific correction / opposition,813,AN,227,0.4003527337,340,0.5996472663,188,31,0.287037037,77,0.712962963,183,54,0.3417721519,104,0.6582278481,211,44,0.4356435644,57,0.5643564356,-0.1133156966,0.1133156966,-0.05858058179,0.05858058179,0.03529083067,-0.03529083067,balanced
10,"Federal court blocks Kennedy’s vaccine changes, invalidates vaccine advisory panel",Healthcare,The Hill,https://thehill.com/policy/healthcare/5786565-judge-blocks-kennedy-vaccine-changes/,,Pro-injunction / public health side,Pro-administration / HHS defense,565,AN,132,0.2832618026,334,0.7167381974,190,13,0.07344632768,164,0.9265536723,181,71,0.4551282051,85,0.5448717949,208,44,0.34375,84,0.65625,-0.2098154749,0.2098154749,0.1718664026,-0.1718664026,0.06048819742,-0.06048819742,Side B heavy
